-rw-r--r-- 1 root root 68818 Jun 8 16:29 var/log/dpkg.log

2016-06-08 16:28:37 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-06-08 16:28:37 install libgcc1:amd64 <none> 1:4.9.2-10
2016-06-08 16:28:37 status half-installed libgcc1:amd64 1:4.9.2-10
2016-06-08 16:28:37 status unpacked libgcc1:amd64 1:4.9.2-10
2016-06-08 16:28:37 status unpacked libgcc1:amd64 1:4.9.2-10
2016-06-08 16:28:37 install libc-bin:amd64 <none> 2.19-18+deb8u4
2016-06-08 16:28:37 status half-installed libc-bin:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status unpacked libc-bin:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status unpacked libc-bin:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 upgrade libc6:amd64 2.19-18+deb8u4 2.19-18+deb8u4
2016-06-08 16:28:38 status half-configured libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status half-installed libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status half-installed libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:38 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:39 install multiarch-support:amd64 <none> 2.19-18+deb8u4
2016-06-08 16:28:39 status half-installed multiarch-support:amd64 2.19-18+deb8u4
2016-06-08 16:28:39 status unpacked multiarch-support:amd64 2.19-18+deb8u4
2016-06-08 16:28:39 status unpacked multiarch-support:amd64 2.19-18+deb8u4
2016-06-08 16:28:39 install grep:amd64 <none> 2.20-4.1
2016-06-08 16:28:39 status half-installed grep:amd64 2.20-4.1
2016-06-08 16:28:39 status unpacked grep:amd64 2.20-4.1
2016-06-08 16:28:39 status unpacked grep:amd64 2.20-4.1
2016-06-08 16:28:39 install gzip:amd64 <none> 1.6-4
2016-06-08 16:28:39 status half-installed gzip:amd64 1.6-4
2016-06-08 16:28:39 status unpacked gzip:amd64 1.6-4
2016-06-08 16:28:39 status unpacked gzip:amd64 1.6-4
2016-06-08 16:28:39 install hostname:amd64 <none> 3.15
2016-06-08 16:28:39 status half-installed hostname:amd64 3.15
2016-06-08 16:28:39 status unpacked hostname:amd64 3.15
2016-06-08 16:28:39 status unpacked hostname:amd64 3.15
2016-06-08 16:28:39 install init:amd64 <none> 1.22
2016-06-08 16:28:39 status half-installed init:amd64 1.22
2016-06-08 16:28:40 status unpacked init:amd64 1.22
2016-06-08 16:28:40 status unpacked init:amd64 1.22
2016-06-08 16:28:40 install insserv:amd64 <none> 1.14.0-5
2016-06-08 16:28:40 status half-installed insserv:amd64 1.14.0-5
2016-06-08 16:28:40 status unpacked insserv:amd64 1.14.0-5
2016-06-08 16:28:40 status unpacked insserv:amd64 1.14.0-5
2016-06-08 16:28:40 install libkmod2:amd64 <none> 18-3
2016-06-08 16:28:40 status half-installed libkmod2:amd64 18-3
2016-06-08 16:28:40 status unpacked libkmod2:amd64 18-3
2016-06-08 16:28:40 status unpacked libkmod2:amd64 18-3
2016-06-08 16:28:40 install libcap2:amd64 <none> 1:2.24-8
2016-06-08 16:28:40 status half-installed libcap2:amd64 1:2.24-8
2016-06-08 16:28:40 status unpacked libcap2:amd64 1:2.24-8
2016-06-08 16:28:40 status unpacked libcap2:amd64 1:2.24-8
2016-06-08 16:28:40 install libcap2-bin:amd64 <none> 1:2.24-8
2016-06-08 16:28:40 status half-installed libcap2-bin:amd64 1:2.24-8
2016-06-08 16:28:40 status unpacked libcap2-bin:amd64 1:2.24-8
2016-06-08 16:28:40 status unpacked libcap2-bin:amd64 1:2.24-8
2016-06-08 16:28:41 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u1
2016-06-08 16:28:41 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u1
2016-06-08 16:28:41 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u1
2016-06-08 16:28:41 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u1
2016-06-08 16:28:41 install libgpg-error0:amd64 <none> 1.17-3
2016-06-08 16:28:41 status half-installed libgpg-error0:amd64 1.17-3
2016-06-08 16:28:41 status unpacked libgpg-error0:amd64 1.17-3
2016-06-08 16:28:41 status unpacked libgpg-error0:amd64 1.17-3
2016-06-08 16:28:41 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2016-06-08 16:28:41 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2016-06-08 16:28:41 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-06-08 16:28:41 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-06-08 16:28:41 install libselinux1:amd64 <none> 2.3-2
2016-06-08 16:28:41 status half-installed libselinux1:amd64 2.3-2
2016-06-08 16:28:41 status unpacked libselinux1:amd64 2.3-2
2016-06-08 16:28:41 status unpacked libselinux1:amd64 2.3-2
2016-06-08 16:28:42 install libsemanage-common:all <none> 2.3-1
2016-06-08 16:28:42 status half-installed libsemanage-common:all 2.3-1
2016-06-08 16:28:42 status unpacked libsemanage-common:all 2.3-1
2016-06-08 16:28:42 status unpacked libsemanage-common:all 2.3-1
2016-06-08 16:28:42 install libsemanage1:amd64 <none> 2.3-1+b1
2016-06-08 16:28:42 status half-installed libsemanage1:amd64 2.3-1+b1
2016-06-08 16:28:42 status unpacked libsemanage1:amd64 2.3-1+b1
2016-06-08 16:28:42 status unpacked libsemanage1:amd64 2.3-1+b1
2016-06-08 16:28:42 install libsepol1:amd64 <none> 2.3-2
2016-06-08 16:28:42 status half-installed libsepol1:amd64 2.3-2
2016-06-08 16:28:42 status unpacked libsepol1:amd64 2.3-2
2016-06-08 16:28:42 status unpacked libsepol1:amd64 2.3-2
2016-06-08 16:28:42 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2016-06-08 16:28:42 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2016-06-08 16:28:42 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-06-08 16:28:42 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-06-08 16:28:43 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2016-06-08 16:28:43 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2016-06-08 16:28:43 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-06-08 16:28:43 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-06-08 16:28:43 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-06-08 16:28:43 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-06-08 16:28:43 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-06-08 16:28:43 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-06-08 16:28:43 install lsb-base:all <none> 4.1+Debian13+nmu1
2016-06-08 16:28:43 status half-installed lsb-base:all 4.1+Debian13+nmu1
2016-06-08 16:28:43 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-06-08 16:28:43 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-06-08 16:28:43 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:43 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:43 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:43 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:43 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:43 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:43 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:44 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2016-06-08 16:28:44 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2016-06-08 16:28:44 status half-configured mawk:amd64 1.3.3-17
2016-06-08 16:28:44 status unpacked mawk:amd64 1.3.3-17
2016-06-08 16:28:44 status half-installed mawk:amd64 1.3.3-17
2016-06-08 16:28:44 status half-installed mawk:amd64 1.3.3-17
2016-06-08 16:28:44 status unpacked mawk:amd64 1.3.3-17
2016-06-08 16:28:44 status unpacked mawk:amd64 1.3.3-17
2016-06-08 16:28:44 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2016-06-08 16:28:44 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:44 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:44 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:44 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2016-06-08 16:28:44 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:44 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:44 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:44 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2016-06-08 16:28:44 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:45 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:45 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2016-06-08 16:28:45 install ncurses-base:all <none> 5.9+20140913-1
2016-06-08 16:28:45 status half-installed ncurses-base:all 5.9+20140913-1
2016-06-08 16:28:45 status unpacked ncurses-base:all 5.9+20140913-1
2016-06-08 16:28:45 status unpacked ncurses-base:all 5.9+20140913-1
2016-06-08 16:28:45 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2016-06-08 16:28:45 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2016-06-08 16:28:45 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2016-06-08 16:28:45 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2016-06-08 16:28:45 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:45 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:45 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 install libpam-runtime:all <none> 1.1.8-3.1+deb8u1
2016-06-08 16:28:46 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u1
2016-06-08 16:28:46 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-06-08 16:28:46 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u1
2016-06-08 16:28:46 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u1+b1
2016-06-08 16:28:46 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2016-06-08 16:28:46 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2016-06-08 16:28:47 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2016-06-08 16:28:47 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2016-06-08 16:28:47 upgrade perl-base:amd64 5.20.2-3+deb8u5 5.20.2-3+deb8u5
2016-06-08 16:28:47 status half-configured perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:47 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:47 status half-installed perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:47 status half-installed perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:47 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:47 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:47 install libprocps3:amd64 <none> 2:3.3.9-9
2016-06-08 16:28:47 status half-installed libprocps3:amd64 2:3.3.9-9
2016-06-08 16:28:47 status unpacked libprocps3:amd64 2:3.3.9-9
2016-06-08 16:28:47 status unpacked libprocps3:amd64 2:3.3.9-9
2016-06-08 16:28:48 install procps:amd64 <none> 2:3.3.9-9
2016-06-08 16:28:48 status half-installed procps:amd64 2:3.3.9-9
